company,product_name,etc_option,pretax_rate,aftertax_rate,highest_prefer,restriction,inter_calcul
한국투자저축은행,비대면회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
한국투자저축은행,비대면회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
한국투자저축은행,인터넷회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
한국투자저축은행,인터넷회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
한국투자저축은행,회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
한국투자저축은행,회전정기예금 ,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
한국투자저축은행,비대면회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,단리
한국투자저축은행,비대면회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,복리
한국투자저축은행,인터넷회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,단리
한국투자저축은행,인터넷회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,복리
한국투자저축은행,회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,단리
한국투자저축은행,회전정기예금 ,1년단위 변동금리상품,3.65%,3.09%,3.65%,제한없음,복리
더케이저축은행,e-회전식정기예금,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
더케이저축은행,e-회전식정기예금,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
더케이저축은행,회전식정기예금,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
더케이저축은행,회전식정기예금,1년단위 변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
페퍼저축은행,AI페퍼스배구사랑 회전정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,복리
페퍼저축은행,AI페퍼스배구사랑 회전정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,단리
키움저축은행,SB톡톡 회전식정기예금,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,단리
키움저축은행,SB톡톡 회전식정기예금,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,복리
키움저축은행,비대면 회전식정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,단리
키움저축은행,비대면 회전식정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,복리
키움저축은행,회전식정기예금 ,1년단위 변동금리상품,3.50%,2.96%,3.50%,제한없음,단리
키움저축은행,회전식정기예금 ,1년단위 변동금리상품,3.50%,2.96%,3.50%,제한없음,복리
키움저축은행,회전식정기예금 ,1년단위 변동금리상품,3.50%,2.96%,3.50%,제한없음,복리
키움저축은행,회전식정기예금 ,1년단위 변동금리상품,3.50%,2.96%,3.50%,제한없음,단리
하나저축은행,비대면 세바퀴정기예금,1년단위 변동금리상품,3.30%,2.79%,3.30%,제한없음,단리
하나저축은행,비대면 세바퀴정기예금,1년단위 변동금리상품,3.30%,2.79%,3.30%,제한없음,복리
키움예스저축은행,회전yes정기예금,1년단위 변동금리상품,3.30%,2.79%,3.30%,제한없음,복리
키움예스저축은행,회전yes정기예금,1년단위 변동금리상품,3.30%,2.79%,3.30%,제한없음,단리
하나저축은행,세바퀴정기예금,1년단위 변동금리상품,3.20%,2.71%,3.20%,제한없음,복리
하나저축은행,세바퀴정기예금,1년단위 변동금리상품,3.20%,2.71%,3.20%,제한없음,단리
페퍼저축은행,부천사랑 회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,단리
페퍼저축은행,부천사랑 회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,복리
페퍼저축은행,평촌사랑 회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,단리
페퍼저축은행,평촌사랑 회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,복리
페퍼저축은행,회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,복리
페퍼저축은행,회전정기예금 ,1년단위 변동금리상품 ,3.60%,3.05%,3.60%,제한없음,단리
키움예스저축은행,SB톡톡 회전yes정기예금,1년단위 변동금리상품 ,3.30%,2.79%,3.30%,제한없음,단리
키움예스저축은행,SB톡톡 회전yes정기예금,1년단위 변동금리상품 ,3.30%,2.79%,3.30%,제한없음,복리
키움예스저축은행,e-회전yes정기예금,1년단위 변동금리상품 ,3.30%,2.79%,3.30%,제한없음,복리
키움예스저축은행,e-회전yes정기예금,1년단위 변동금리상품 ,3.30%,2.79%,3.30%,제한없음,단리
금화저축은행,e-회전정기예금,1년단위 변동금리상품,3.55%,3.00%,3.55%,제한없음,단리
금화저축은행,e-회전정기예금,1년단위 변동금리상품,3.55%,3.00%,3.55%,제한없음,복리
금화저축은행,회전정기예금,1년단위 변동금리상품,3.55%,3.00%,3.55%,제한없음,단리
금화저축은행,회전정기예금,1년단위 변동금리상품,3.55%,3.00%,3.55%,제한없음,복리
상상인플러스저축은행,중도해지 괜찮아 369정기예금,,2.21%,1.87%,2.21%,제한없음,복리
수협은행,헤이(Hey)정기예금,,3.42%,2.89%,3.42%,제한없음,단리
부산은행,더(The) 레벨업 정기예금,,3.15%,2.66%,3.35%,제한없음,단리
부산은행,더(The) 특판 정기예금,,3.00%,2.54%,3.45%,제한없음,단리
CK저축은행,정기예금,,3.30%,2.79%,3.30%,제한없음,복리
CK저축은행,정기예금,,3.30%,2.79%,3.30%,제한없음,단리
조흥저축은행,정기예금,,3.50%,2.96%,3.50%,제한없음,단리
조흥저축은행,정기예금,,3.50%,2.96%,3.50%,제한없음,복리
BNK저축은행,정기예금,,3.50%,2.96%,3.50%,제한없음,단리
BNK저축은행,정기예금,,3.50%,2.96%,3.50%,제한없음,복리
페퍼저축은행,페퍼스 정기예금 ,,3.50%,2.96%,3.50%,제한없음,복리
페퍼저축은행,페퍼스 정기예금 ,,3.50%,2.96%,3.50%,제한없음,단리
페퍼저축은행,페퍼스 회전정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,단리
페퍼저축은행,페퍼스 회전정기예금 ,1년단위 변동금리상품,3.60%,3.05%,3.60%,제한없음,복리
페퍼저축은행,페퍼스 중도해지Free정기예금,,3.40%,2.88%,3.40%,제한없음,복리
민국저축은행,톡톡정기예금 ,,3.35%,2.83%,3.35%,제한없음,복리
민국저축은행,톡톡정기예금 ,,3.35%,2.83%,3.35%,제한없음,단리
OK저축은행,OK e-안심앱플러스정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,단리
OK저축은행,OK e-안심앱플러스정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,복리
OK저축은행,OK e-안심정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,단리
OK저축은행,OK e-안심정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,복리
OK저축은행,OK안심정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,복리
OK저축은행,OK안심정기예금,변동금리상품,3.76%,3.18%,3.76%,제한없음,단리
세람저축은행,회전식 정기예금,변동금리상품,3.70%,3.13%,3.70%,제한없음,단리
세람저축은행,회전식 정기예금,변동금리상품,3.70%,3.13%,3.70%,제한없음,복리
OK저축은행,OK e-안심앱플러스정기예금6 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,복리
OK저축은행,OK e-안심앱플러스정기예금6 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,단리
유안타저축은행,e-회전정기예금 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,복리
유안타저축은행,e-회전정기예금 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,단리
유안타저축은행,회전정기예금 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,복리
유안타저축은행,회전정기예금 ,변동금리상품,3.66%,3.10%,3.66%,제한없음,단리
애큐온저축은행,플러스회전식정기예금,변동금리상품,3.65%,3.09%,3.65%,제한없음,복리
애큐온저축은행,플러스회전식정기예금,변동금리상품,3.65%,3.09%,3.65%,제한없음,단리
애큐온저축은행,플러스회전식정기예금,변동금리상품,3.65%,3.09%,3.65%,제한없음,단리
애큐온저축은행,플러스회전식정기예금,변동금리상품,3.65%,3.09%,3.65%,제한없음,복리
